task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,0,4.61087,0.015804,0,1.0,0.0,0.45158,0.0,0.28579,0.32,0.490316,0.004987,0.0,0.006592,0.0,0.0,0,0.131836
0,0,1,4.2278,0.018014,1,1.0,0.0,0.408224,0.333333,0.272401,0.256,0.48087,0.006633,0.0,0.013126,0.0,0.0,0,0.131348
0,0,2,3.622515,0.044814,1,1.0,0.0,0.371883,0.555556,0.261022,0.2048,0.472149,0.006617,0.0,0.020995,0.0,0.0,0,0.158691
0,0,3,3.066015,0.13419,1,1.0,0.0,0.348114,0.703704,0.25468,0.16384,0.46539,0.005867,0.0,0.031266,0.0,0.0,0,0.20752
0,0,4,2.857982,0.236284,1,1.0,0.0,0.336931,0.802469,0.253761,0.131072,0.460808,0.004877,0.0,0.044562,0.0,0.0,0,0.269043
0,0,5,2.428732,0.152356,1,1.0,0.0,0.318473,0.868313,0.24869,0.104858,0.454639,0.003892,0.0,0.059232,0.0,0.0,0,0.297852
0,0,6,2.355195,0.13937,1,1.0,0.0,0.300563,0.912209,0.243224,0.083886,0.448333,0.00302,0.0,0.075855,0.0,0.0,0,0.338379
0,0,7,2.301459,0.185722,1,1.0,0.0,0.289079,0.941472,0.240349,0.067109,0.443081,0.002295,0.0,0.092882,0.0,0.0,0,0.348145
0,0,8,2.365192,0.166492,1,1.0,0.0,0.27682,0.960982,0.236656,0.053687,0.437549,0.001717,0.0,0.110875,0.0,0.0,0,0.369141
0,0,9,2.290414,0.157806,1,1.0,0.0,0.264919,0.973988,0.232714,0.04295,0.431954,0.001269,0.0,0.129632,0.0,0.0,0,0.38623
0,0,10,2.270239,0.167609,1,1.0,0.0,0.255188,0.982659,0.229459,0.03436,0.426668,0.000928,0.0,0.14854,0.0,0.0,0,0.391113
0,0,11,2.275967,0.173137,1,1.0,0.0,0.246983,0.988439,0.226642,0.027488,0.421597,0.000673,0.0,0.167817,0.0,0.0,0,0.400391
0,0,12,2.385693,0.281221,0,1.0,0.0,0.250406,0.658959,0.229371,0.02199,0.418789,0.021463,0.0,0.187095,0.0,0.0,0,0.402344
0,0,13,2.256252,0.177473,1,1.0,0.0,0.243113,0.77264,0.226777,0.017592,0.413963,0.015371,0.0,0.206447,0.0,0.0,0,0.405762
0,0,14,2.228652,0.16525,1,1.0,0.0,0.235327,0.848426,0.2237,0.014074,0.408989,0.010952,0.0,0.225581,0.0,0.0,0,0.40332
0,0,15,2.226364,0.179246,1,1.0,0.0,0.229719,0.898951,0.221477,0.011259,0.404394,0.007769,0.0,0.244741,0.0,0.0,0,0.405762
0,0,16,2.171064,0.184925,1,1.0,0.0,0.225239,0.932634,0.21965,0.009007,0.400005,0.005489,0.0,0.264221,0.0,0.0,0,0.414062
0,0,17,2.210347,0.240263,1,1.0,0.0,0.226742,0.955089,0.22068,0.007206,0.39681,0.003865,0.0,0.283529,0.0,0.0,0,0.412598
0,0,18,2.207438,0.220683,1,1.0,0.0,0.226136,0.97006,0.220681,0.005765,0.393287,0.002713,0.0,0.302839,0.0,0.0,0,0.414551
0,0,19,2.149063,0.218425,1,1.0,0.0,0.225365,0.98004,0.220568,0.004612,0.38979,0.001899,0.0,0.322224,0.0,0.0,0,0.417969
0,0,20,2.349326,0.30879,0,1.0,0.0,0.233707,0.65336,0.224979,0.003689,0.38817,0.034552,0.0,0.341657,0.0,0.0,0,0.420898
0,0,21,2.222661,0.208768,1,1.0,0.0,0.231213,0.768907,0.224168,0.002951,0.384582,0.024072,0.0,0.36031,0.0,0.0,0,0.407227
0,0,22,2.200969,0.257888,0,1.0,0.0,0.233881,0.512604,0.225854,0.002361,0.382048,0.052948,0.0,0.379334,0.0,0.0,0,0.416504
0,0,23,2.297515,0.287175,0,1.0,0.0,0.23921,0.341736,0.22892,0.001889,0.380151,0.074436,0.0,0.398556,0.0,0.0,0,0.422363
0,0,24,2.207268,0.261103,0,1.0,0.0,0.241399,0.227824,0.230529,0.001511,0.37777,0.090733,0.0,0.417559,0.0,0.0,0,0.419922
0,0,25,2.183992,0.308627,0,1.0,0.0,0.248122,0.151883,0.234434,0.001209,0.376387,0.103389,0.0,0.43593,0.0,0.0,0,0.40918
0,0,26,2.250054,0.284462,0,1.0,0.0,0.251756,0.101255,0.236936,0.000967,0.374548,0.113497,0.0,0.4546,0.0,0.0,0,0.416992
0,0,27,2.179965,0.277523,0,1.0,0.0,0.254333,0.067503,0.238965,0.000774,0.372608,0.121823,0.0,0.472298,0.0,0.0,0,0.399414
0,0,28,2.086379,0.265409,0,1.0,0.0,0.25544,0.045002,0.240287,0.000619,0.370464,0.128903,0.0,0.490517,0.0,0.0,0,0.411621
0,0,29,2.040662,0.274839,0,1.0,0.0,0.25738,0.030002,0.242015,0.000495,0.368551,0.135113,0.0,0.508182,0.0,0.0,0,0.402344
0,0,30,2.197487,0.31222,0,1.0,0.0,0.262864,0.020001,0.245525,0.000396,0.367425,0.140713,0.0,0.525807,0.0,0.0,0,0.40332
0,0,31,2.084341,0.281212,0,1.0,0.0,0.264699,0.013334,0.247309,0.000317,0.365701,0.145885,0.0,0.543637,0.0,0.0,0,0.40918
0,0,32,2.012165,0.256414,0,1.0,0.0,0.26387,0.008889,0.247765,0.000254,0.363515,0.150754,0.0,0.560621,0.0,0.0,0,0.394043
0,0,33,2.073106,0.284632,0,1.0,0.0,0.265947,0.005926,0.249608,0.000203,0.361937,0.155409,0.0,0.577789,0.0,0.0,0,0.399414
0,0,34,2.257088,0.327333,0,1.0,0.0,0.272085,0.003951,0.253494,0.000162,0.361245,0.159909,0.0,0.594919,0.0,0.0,0,0.400391
0,0,35,2.174476,0.315171,0,1.0,0.0,0.276394,0.002634,0.256578,0.00013,0.360324,0.164296,0.0,0.611549,0.0,0.0,0,0.39209
0,0,36,2.119652,0.350584,0,1.0,0.0,0.283813,0.001756,0.261278,0.000104,0.360129,0.168599,0.0,0.627241,0.0,0.0,0,0.375
0,0,37,2.125475,0.312878,0,1.0,0.0,0.286719,0.001171,0.263858,8.3e-05,0.359184,0.172838,0.0,0.64327,0.0,0.0,0,0.383301
0,0,38,2.150468,0.350868,0,1.0,0.0,0.293134,0.00078,0.268209,6.6e-05,0.359017,0.177027,0.0,0.659024,0.0,0.0,0,0.379395
0,0,39,1.905806,0.274016,0,1.0,0.0,0.291222,0.00052,0.268499,5.3e-05,0.357317,0.181175,0.0,0.668839,0.0,0.0,0,0.262207
0,1,0,2.224472,0.411917,0,1.0,0.0,0.303292,0.000347,0.27567,4.3e-05,0.358409,0.185288,0.0,0.682829,0.0,0.0,0,0.34668
0,1,1,2.109224,0.403735,0,1.0,0.0,0.313336,0.000231,0.282073,3.4e-05,0.359316,0.189372,0.0,0.697237,0.0,0.0,0,0.356445
0,1,2,1.951504,0.345616,0,1.0,0.0,0.316564,0.000154,0.28525,2.7e-05,0.359042,0.193429,0.0,0.7115,0.0,0.0,0,0.35498
0,1,3,2.123455,0.353448,0,1.0,0.0,0.320252,0.000103,0.28866,2.2e-05,0.35893,0.197461,0.0,0.72491,0.0,0.0,0,0.339355
0,1,4,2.153481,0.353367,0,1.0,0.0,0.323564,6.9e-05,0.291896,1.7e-05,0.358819,0.20147,0.0,0.738326,0.0,0.0,0,0.34082
0,1,5,2.063944,0.343256,0,1.0,0.0,0.325533,4.6e-05,0.294464,1.4e-05,0.358508,0.205457,0.0,0.750504,0.0,0.0,0,0.317383
0,1,6,2.100944,0.339241,0,1.0,0.0,0.326904,3e-05,0.296703,1.1e-05,0.358122,0.209423,0.0,0.762669,0.0,0.0,0,0.318359
0,1,7,2.03447,0.35824,0,1.0,0.0,0.330038,2e-05,0.299779,9e-06,0.358125,0.213368,0.0,0.774066,0.0,0.0,0,0.304199
0,1,8,2.202623,0.361857,0,1.0,0.0,0.333219,1.4e-05,0.302883,7e-06,0.358199,0.217293,0.0,0.785845,0.0,0.0,0,0.312988
0,1,9,1.977299,0.341422,0,1.0,0.0,0.33404,9e-06,0.30481,6e-06,0.357864,0.221197,0.0,0.796076,0.0,0.0,0,0.283203
0,1,10,1.816093,0.327719,0,1.0,0.0,0.333408,6e-06,0.305956,5e-06,0.357261,0.225082,0.0,0.806354,0.0,0.0,0,0.285156
0,1,11,1.988462,0.353826,0,1.0,0.0,0.335449,4e-06,0.308349,4e-06,0.357192,0.228948,0.0,0.815676,0.0,0.0,0,0.26709
0,1,12,2.143716,0.353924,0,1.0,0.0,0.337297,3e-06,0.310628,3e-06,0.357127,0.232793,0.0,0.825221,0.0,0.0,0,0.272461
0,1,13,2.131472,0.348545,0,1.0,0.0,0.338422,2e-06,0.312524,2e-06,0.356955,0.23662,0.0,0.834034,0.0,0.0,0,0.258789
0,1,14,1.819533,0.309219,0,1.0,0.0,0.335501,1e-06,0.312358,2e-06,0.356,0.240428,0.0,0.841998,0.0,0.0,0,0.242676
0,1,15,2.153047,0.336409,0,1.0,0.0,0.335592,1e-06,0.313561,1e-06,0.355609,0.244216,0.0,0.850288,0.0,0.0,0,0.25
0,1,16,1.927782,0.330515,0,1.0,0.0,0.335084,1e-06,0.314409,1e-06,0.355107,0.247986,0.0,0.857731,0.0,0.0,0,0.233887
0,1,17,1.906424,0.303667,0,1.0,0.0,0.331943,0.0,0.313872,1e-06,0.354078,0.251736,0.0,0.865063,0.0,0.0,0,0.232422
0,1,18,2.08167,0.322656,0,1.0,0.0,0.331014,0.0,0.314311,1e-06,0.35345,0.255468,0.0,0.87209,0.0,0.0,0,0.227051
0,1,19,2.133274,0.325051,0,1.0,0.0,0.330418,0.0,0.314848,1e-06,0.352882,0.259182,0.0,0.879009,0.0,0.0,0,0.225586
0,1,20,1.928534,0.305947,0,1.0,0.0,0.327971,0.0,0.314403,0.0,0.351943,0.262877,0.0,0.885625,0.0,0.0,0,0.220215
0,1,21,1.944483,0.325399,0,1.0,0.0,0.327713,0.0,0.314953,0.0,0.351412,0.266553,0.0,0.891817,0.0,0.0,0,0.212402
0,1,22,1.954787,0.342297,0,1.0,0.0,0.329172,0.0,0.31632,0.0,0.35123,0.270211,0.0,0.897758,0.0,0.0,0,0.208008
0,1,23,1.883838,0.314244,0,1.0,0.0,0.327679,0.0,0.316216,0.0,0.35049,0.273851,0.0,0.90284,0.0,0.0,0,0.191406
0,1,24,1.865924,0.319164,0,1.0,0.0,0.326827,0.0,0.316363,0.0,0.349863,0.277473,0.0,0.908579,0.0,0.0,0,0.205078
0,1,25,1.945795,0.335565,0,1.0,0.0,0.327701,0.0,0.317324,0.0,0.349577,0.281076,0.0,0.914266,0.0,0.0,0,0.20459
0,1,26,1.910412,0.303156,0,1.0,0.0,0.325247,0.0,0.316615,0.0,0.348649,0.284662,0.0,0.918997,0.0,0.0,0,0.186035
0,1,27,1.842737,0.30999,0,1.0,0.0,0.323721,0.0,0.316284,0.0,0.347876,0.28823,0.0,0.923801,0.0,0.0,0,0.187988
0,1,28,1.947476,0.322165,0,1.0,0.0,0.323565,0.0,0.316578,0.0,0.347362,0.29178,0.0,0.92946,0.0,0.0,0,0.205566
0,1,29,1.925864,0.326945,0,1.0,0.0,0.323903,0.0,0.317096,0.0,0.346953,0.295312,0.0,0.93492,0.0,0.0,0,0.202148
0,1,30,1.889465,0.328811,0,1.0,0.0,0.324394,0.0,0.317682,0.0,0.34659,0.298827,0.0,0.940085,0.0,0.0,0,0.196777
0,1,31,1.849077,0.325514,0,1.0,0.0,0.324506,0.0,0.318074,0.0,0.346169,0.302324,0.0,0.944979,0.0,0.0,0,0.191895
0,1,32,1.896018,0.36036,0,1.0,0.0,0.328091,0.0,0.320188,0.0,0.346453,0.305803,0.0,0.950459,0.0,0.0,0,0.204102
0,1,33,1.863244,0.36357,0,1.0,0.0,0.331639,0.0,0.322357,0.0,0.346795,0.309266,0.0,0.956205,0.0,0.0,0,0.209961
0,1,34,1.962346,0.369163,0,1.0,0.0,0.335392,0.0,0.324697,0.0,0.347243,0.312711,0.0,0.961116,0.0,0.0,0,0.193848
0,1,35,2.051955,0.369903,0,1.0,0.0,0.338843,0.0,0.326958,0.0,0.347696,0.316139,0.0,0.966638,0.0,0.0,0,0.206543
0,1,36,1.911718,0.319968,0,1.0,0.0,0.336955,0.0,0.326608,0.0,0.347141,0.319549,0.0,0.972156,0.0,0.0,0,0.207031
0,1,37,1.820766,0.340199,0,1.0,0.0,0.33728,0.0,0.327288,0.0,0.347002,0.322943,0.0,0.977501,0.0,0.0,0,0.204102
0,1,38,2.18809,0.33942,0,1.0,0.0,0.337494,0.0,0.327894,0.0,0.346851,0.32632,0.0,0.981549,0.0,0.0,0,0.178711
0,1,39,1.979166,0.279645,0,1.0,0.0,0.331709,0.0,0.325482,0.0,0.345507,0.32968,0.0,0.983184,0.0,0.0,0,0.130859
0,2,0,2.091225,0.403501,0,1.0,0.0,0.338888,0.0,0.329383,0.0,0.346667,0.333023,0.0,0.987521,0.0,0.0,0,0.185059
0,2,1,2.152463,0.425072,0,1.0,0.0,0.347506,0.0,0.334167,0.0,0.348235,0.33635,0.0,0.992544,0.0,0.0,0,0.199219
0,2,2,1.875433,0.362164,0,1.0,0.0,0.348972,0.0,0.335567,0.0,0.348513,0.33966,0.0,0.997152,0.0,0.0,0,0.191406
0,2,3,1.854013,0.353949,0,1.0,0.0,0.34947,0.0,0.336486,0.0,0.348622,0.342953,0.0,1.0,0.0,0.0,0,0.191895
0,2,4,1.82941,0.370442,0,1.0,0.0,0.351567,0.0,0.338184,0.0,0.349058,0.34623,0.0,1.0,0.0,0.0,0,0.190918
0,2,5,1.99544,0.39613,0,1.0,0.0,0.356023,0.0,0.341081,0.0,0.35,0.349491,0.0,1.0,0.0,0.0,0,0.186523
0,2,6,1.966987,0.359414,0,1.0,0.0,0.356362,0.0,0.341998,0.0,0.350188,0.352735,0.0,1.0,0.0,0.0,0,0.176758
0,2,7,1.973108,0.389356,0,1.0,0.0,0.359662,0.0,0.344366,0.0,0.350971,0.355964,0.0,1.0,0.0,0.0,0,0.174805
0,2,8,1.946598,0.374831,0,1.0,0.0,0.361179,0.0,0.345889,0.0,0.351449,0.359176,0.0,1.0,0.0,0.0,0,0.167969
0,2,9,1.785442,0.324965,0,1.0,0.0,0.357557,0.0,0.344843,0.0,0.350919,0.362372,0.0,1.0,0.0,0.0,0,0.160156
0,2,10,1.871294,0.325143,0,1.0,0.0,0.354316,0.0,0.343858,0.0,0.350403,0.365552,0.0,1.0,0.0,0.0,0,0.166992
0,2,11,2.051692,0.329333,0,1.0,0.0,0.351818,0.0,0.343132,0.0,0.349982,0.368716,0.0,1.0,0.0,0.0,0,0.167969
0,2,12,1.978635,0.333277,0,1.0,0.0,0.349964,0.0,0.342639,0.0,0.349648,0.371865,0.0,1.0,0.0,0.0,0,0.149902
0,2,13,1.824711,0.343092,0,1.0,0.0,0.349276,0.0,0.342661,0.0,0.349517,0.374998,0.0,1.0,0.0,0.0,0,0.151855
0,2,14,1.920759,0.340666,0,1.0,0.0,0.348415,0.0,0.342562,0.0,0.34934,0.378115,0.0,1.0,0.0,0.0,0,0.152344
0,2,15,1.886721,0.33606,0,1.0,0.0,0.34718,0.0,0.342237,0.0,0.349074,0.381217,0.0,1.0,0.0,0.0,0,0.148926
0,2,16,1.831045,0.305816,0,1.0,0.0,0.343043,0.0,0.340416,0.0,0.348209,0.384303,0.0,1.0,0.0,0.0,0,0.149902
0,2,17,1.871129,0.308233,0,1.0,0.0,0.339562,0.0,0.338806,0.0,0.34741,0.387374,0.0,1.0,0.0,0.0,0,0.14209
0,2,18,1.856327,0.34612,0,1.0,0.0,0.340218,0.0,0.339172,0.0,0.347384,0.390429,0.0,1.0,0.0,0.0,0,0.163574
0,2,19,1.859248,0.367015,0,1.0,0.0,0.342898,0.0,0.340564,0.0,0.347776,0.393469,0.0,1.0,0.0,0.0,0,0.17041
0,2,20,1.919125,0.3737,0,1.0,0.0,0.345978,0.0,0.342221,0.0,0.348295,0.396494,0.0,1.0,0.0,0.0,0,0.152344
0,2,21,1.75949,0.351999,0,1.0,0.0,0.34658,0.0,0.34271,0.0,0.348369,0.399504,0.0,1.0,0.0,0.0,0,0.169434
0,2,22,1.795777,0.365654,0,1.0,0.0,0.348487,0.0,0.343857,0.0,0.348715,0.402499,0.0,1.0,0.0,0.0,0,0.163086
0,2,23,1.807364,0.381298,0,1.0,0.0,0.351768,0.0,0.345729,0.0,0.349366,0.405479,0.0,1.0,0.0,0.0,0,0.164551
