task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,0,4.634004,0.014942,0,1.0,0.0,0.451494,0.0,0.285747,0.363848,0.490299,0.004987,0.0,0.024097,0.000508,0.0,0,0.481934
0,0,1,4.302082,0.016596,1,1.762598,0.0,0.408004,0.333333,0.27229,0.331215,0.480825,0.006633,0.0,0.048293,0.000929,0.0,0,0.486328
0,0,2,3.752793,0.036087,1,2.020972,0.0,0.370813,0.555556,0.260479,0.304327,0.47193,0.006617,0.0,0.07183,0.001296,0.0,0,0.475586
0,0,3,3.174097,0.107293,1,2.21145,0.0,0.344461,0.703704,0.25282,0.279497,0.464637,0.005867,0.0,0.094713,0.001576,0.0,0,0.464844
0,0,4,2.903819,0.209437,1,2.334537,0.0,0.330958,0.802469,0.250651,0.255238,0.459533,0.004877,0.0,0.117653,0.001783,0.0,0,0.468262
0,0,5,2.475507,0.142127,1,2.453197,0.0,0.312075,0.868313,0.245225,0.233487,0.453185,0.003892,0.0,0.140893,0.001941,0.0,0,0.476562
0,0,6,2.374372,0.143615,1,2.49604,0.0,0.295229,0.912209,0.240144,0.21306,0.446994,0.00302,0.0,0.163992,0.002045,0.0,0,0.476074
0,0,7,2.304582,0.183521,1,2.510529,0.0,0.284058,0.941472,0.237313,0.19535,0.441724,0.002295,0.0,0.187171,0.002127,0.0,0,0.47998
0,0,8,2.354429,0.161553,1,2.490907,0.0,0.271808,0.960982,0.233525,0.178057,0.436121,0.001717,0.0,0.210601,0.002179,0.0,0,0.487305
0,0,9,2.287333,0.157785,1,2.459254,0.0,0.260405,0.973988,0.229738,0.161391,0.430554,0.001269,0.0,0.233888,0.002221,0.0,0,0.486816
0,0,10,2.273582,0.166324,1,2.433072,0.0,0.250997,0.982659,0.226567,0.147961,0.42527,0.000928,0.0,0.257133,0.002271,0.0,0,0.488281
0,0,11,2.281074,0.177556,1,2.400497,0.0,0.243653,0.988439,0.224117,0.134189,0.420315,0.000673,0.0,0.28075,0.002283,0.0,0,0.498047
0,0,12,2.393941,0.285333,0,2.330472,0.0,0.247821,0.658959,0.227178,0.122781,0.417616,0.021463,0.0,0.30398,0.0023,0.0,0,0.492676
0,0,13,2.236454,0.165142,1,2.307355,0.0,0.239553,0.77264,0.224076,0.11258,0.412566,0.015371,0.0,0.327655,0.00233,0.0,0,0.503906
0,0,14,2.245514,0.165548,1,2.276796,0.0,0.232153,0.848426,0.221149,0.105103,0.407626,0.010952,0.0,0.351359,0.00238,0.0,0,0.506836
0,0,15,2.230393,0.182695,1,2.248608,0.0,0.227207,0.898951,0.219227,0.098438,0.403127,0.007769,0.0,0.375041,0.002426,0.0,0,0.508789
0,0,16,2.161192,0.194319,1,2.215847,0.0,0.223918,0.932634,0.217981,0.09252,0.398951,0.005489,0.0,0.398728,0.002468,0.0,0,0.51123
0,0,17,2.217199,0.239598,1,2.178931,0.0,0.225486,0.955089,0.219062,0.087004,0.395764,0.003865,0.0,0.422686,0.002513,0.0,0,0.519043
0,0,18,2.166648,0.216969,1,2.144308,0.0,0.224634,0.97006,0.218957,0.082787,0.392188,0.002713,0.0,0.446549,0.00257,0.0,0,0.519531
0,0,19,2.166886,0.253611,0,2.087093,0.0,0.227532,0.646706,0.22069,0.079315,0.389417,0.03362,0.0,0.470513,0.00263,0.0,0,0.523926
0,0,20,2.328414,0.273457,0,2.032738,0.0,0.232124,0.431138,0.223328,0.075562,0.387097,0.056702,0.0,0.494503,0.002678,0.0,0,0.526855
0,0,21,2.206717,0.217627,1,2.034999,0.0,0.230675,0.620758,0.223043,0.073828,0.383708,0.039504,0.0,0.518178,0.002752,0.0,0,0.522949
0,0,22,2.203055,0.281915,0,1.983249,0.0,0.235799,0.413839,0.225987,0.072246,0.381672,0.063677,0.0,0.542467,0.002831,0.0,0,0.537598
0,0,23,2.321343,0.305514,0,1.934087,0.0,0.24277,0.275893,0.229963,0.069613,0.380149,0.081882,0.0,0.566781,0.002891,0.0,0,0.540527
0,0,24,2.189057,0.269366,0,1.887382,0.0,0.24543,0.183928,0.231933,0.067702,0.377933,0.095891,0.0,0.590827,0.002953,0.0,0,0.537598
