task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,0,4.635045,0.014846,0,1.0,0.0,0.451485,0.0,0.285742,0.385039,0.490297,0.004987,0.0,0.029492,0.000753,0.0,0,0.589844
0,0,1,4.311101,0.016337,1,2.235743,0.0,0.40797,0.333333,0.272272,0.37307,0.480818,0.006633,0.0,0.058935,0.001478,0.0,0,0.591797
0,0,2,3.778258,0.034509,1,2.440401,0.0,0.370624,0.555556,0.260384,0.361835,0.471892,0.006617,0.0,0.0874,0.002144,0.0,0,0.575195
0,0,3,3.205086,0.100262,1,2.59369,0.0,0.343588,0.703704,0.252378,0.349624,0.464459,0.005867,0.0,0.114673,0.002728,0.0,0,0.554199
0,0,4,2.919568,0.203003,1,2.699428,0.0,0.329529,0.802469,0.249909,0.333313,0.45923,0.004877,0.0,0.140735,0.003204,0.0,0,0.532715
0,0,5,2.490676,0.142732,1,2.798433,0.0,0.310849,0.868313,0.24455,0.316357,0.4529,0.003892,0.0,0.166203,0.003602,0.0,0,0.523438
0,0,6,2.370771,0.141536,1,2.821217,0.0,0.293918,0.912209,0.239399,0.297226,0.446673,0.00302,0.0,0.191398,0.003904,0.0,0,0.520508
0,0,7,2.309231,0.18452,1,2.819202,0.0,0.282978,0.941472,0.236656,0.278016,0.44143,0.002295,0.0,0.2161,0.004138,0.0,0,0.513184
0,0,8,2.356467,0.161031,1,2.795396,0.0,0.270784,0.960982,0.232874,0.258545,0.435822,0.001717,0.0,0.240874,0.00432,0.0,0,0.51709
0,0,9,2.292956,0.157886,1,2.764234,0.0,0.259494,0.973988,0.229125,0.240821,0.430263,0.001269,0.0,0.265597,0.004493,0.0,0,0.518555
0,0,10,2.282786,0.166832,1,2.731162,0.0,0.250228,0.982659,0.22601,0.224883,0.424994,0.000928,0.0,0.290075,0.00464,0.0,0,0.516113
0,0,11,2.286359,0.179031,1,2.689623,0.0,0.243108,0.988439,0.223661,0.209789,0.420075,0.000673,0.0,0.314967,0.004753,0.0,0,0.526855
0,0,12,2.392725,0.283624,0,2.605142,0.0,0.247159,0.658959,0.226659,0.197421,0.417346,0.021463,0.0,0.339393,0.004866,0.0,0,0.52002
0,0,13,2.242575,0.165903,1,2.591395,0.0,0.239034,0.77264,0.223622,0.18489,0.412317,0.015371,0.0,0.363941,0.004975,0.0,0,0.524902
0,0,14,2.2335,0.164765,1,2.557424,0.0,0.231607,0.848426,0.220679,0.175744,0.407366,0.010952,0.0,0.388611,0.005102,0.0,0,0.529785
0,0,15,2.228734,0.180854,1,2.51883,0.0,0.226532,0.898951,0.218687,0.167939,0.402836,0.007769,0.0,0.413304,0.005229,0.0,0,0.532715
0,0,16,2.167343,0.191134,1,2.491723,0.0,0.222992,0.932634,0.21731,0.162281,0.398602,0.005489,0.0,0.437751,0.005369,0.0,0,0.530273
0,0,17,2.216066,0.241554,1,2.458892,0.0,0.224848,0.955089,0.218522,0.156778,0.395461,0.003865,0.0,0.462711,0.005527,0.0,0,0.542969
0,0,18,2.172614,0.217277,1,2.430182,0.0,0.224091,0.97006,0.21846,0.152375,0.391897,0.002713,0.0,0.487643,0.005697,0.0,0,0.544922
0,0,19,2.163504,0.247075,1,2.391432,0.0,0.226389,0.98004,0.21989,0.14817,0.389001,0.001899,0.0,0.512622,0.005864,0.0,0,0.54834
0,0,20,2.326906,0.276698,0,2.32186,0.0,0.23142,0.65336,0.222731,0.143048,0.386755,0.034552,0.0,0.537549,0.006008,0.0,0,0.549805
0,0,21,2.212076,0.216671,1,2.324548,0.0,0.229945,0.768907,0.222428,0.141001,0.383353,0.024072,0.0,0.56179,0.006196,0.0,0,0.538574
0,0,22,2.2121,0.280349,0,2.258321,0.0,0.234986,0.512604,0.225324,0.140047,0.381293,0.052948,0.0,0.586935,0.006409,0.0,0,0.559082
