task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,0,0,4.635045,0.014846,0,1.0,0.0,0.451485,0.0,0.285742,0.385039,0.490297,0.004987,0.0,0.0,0.0,0
0,0,1,4.309947,0.016372,1,1.0,0.0,0.407973,0.333333,0.272274,0.372973,0.480818,0.006633,0.0,0.0,0.0,0
0,0,2,3.776459,0.034679,1,1.0,0.0,0.370644,0.555556,0.260394,0.360976,0.471896,0.006617,0.0,0.0,0.0,0
0,0,3,3.201702,0.101043,1,1.0,0.0,0.343684,0.703704,0.252426,0.349132,0.464479,0.005867,0.0,0.0,0.0,0
0,0,4,2.915861,0.203646,1,1.0,0.0,0.32968,0.802469,0.249987,0.332528,0.459262,0.004877,0.0,0.0,0.0,0
0,0,5,2.484125,0.142539,1,1.0,0.0,0.310966,0.868313,0.244615,0.315437,0.452928,0.003892,0.0,0.0,0.0,0
0,0,6,2.375437,0.142488,1,1.0,0.0,0.294118,0.912209,0.239509,0.295514,0.446719,0.00302,0.0,0.0,0.0,0
0,0,7,2.305185,0.184765,1,1.0,0.0,0.283183,0.941472,0.236771,0.275766,0.44148,0.002295,0.0,0.0,0.0,0
0,0,8,2.356098,0.161066,1,1.0,0.0,0.270971,0.960982,0.232986,0.255574,0.435871,0.001717,0.0,0.0,0.0,0
0,0,9,2.291737,0.157205,1,1.0,0.0,0.259594,0.973988,0.229197,0.237955,0.430298,0.001269,0.0,0.0,0.0,0
0,0,10,2.280426,0.166911,1,1.0,0.0,0.250326,0.982659,0.226083,0.221712,0.42503,0.000928,0.0,0.0,0.0,0
0,0,11,2.283674,0.178491,1,1.0,0.0,0.243143,0.988439,0.223703,0.206569,0.4201,0.000673,0.0,0.0,0.0,0
0,0,12,2.392776,0.284443,0,1.0,0.0,0.247273,0.658959,0.22674,0.194942,0.417386,0.021463,0.0,0.0,0.0,0
0,0,13,2.240826,0.166015,1,1.0,0.0,0.239147,0.77264,0.223704,0.183395,0.412359,0.015371,0.0,0.0,0.0,0
0,0,14,2.23462,0.164468,1,1.0,0.0,0.231679,0.848426,0.220742,0.174841,0.407401,0.010952,0.0,0.0,0.0,0
0,0,15,2.226772,0.181019,1,1.0,0.0,0.226613,0.898951,0.218756,0.16624,0.402874,0.007769,0.0,0.0,0.0,0
0,0,16,2.161717,0.191599,1,1.0,0.0,0.223112,0.932634,0.217398,0.160141,0.398648,0.005489,0.0,0.0,0.0,0
0,0,17,2.215986,0.240714,1,1.0,0.0,0.224872,0.955089,0.218564,0.152624,0.395489,0.003865,0.0,0.0,0.0,0
0,0,18,2.164489,0.217059,1,1.0,0.0,0.224091,0.97006,0.218489,0.147295,0.391921,0.002713,0.0,0.0,0.0,0
0,0,19,2.163473,0.251267,0,1.0,0.0,0.226808,0.646706,0.220128,0.14225,0.389108,0.03362,0.0,0.0,0.0,0
0,0,20,2.325319,0.276318,0,1.0,0.0,0.231759,0.431138,0.222937,0.137433,0.386852,0.056702,0.0,0.0,0.0,0
0,0,21,2.208293,0.217538,1,1.0,0.0,0.230337,0.620758,0.222667,0.134946,0.383466,0.039504,0.0,0.0,0.0,0
0,0,22,2.20598,0.280618,0,1.0,0.0,0.235365,0.413839,0.225565,0.13325,0.381409,0.063677,0.0,0.0,0.0,0
0,0,23,2.31945,0.302179,0,1.0,0.0,0.242047,0.275893,0.229395,0.1316,0.379824,0.081882,0.0,0.0,0.0,0
0,0,24,2.194648,0.270019,0,1.0,0.0,0.244844,0.183928,0.231427,0.129987,0.377628,0.095891,0.0,0.0,0.0,0
0,0,25,2.151896,0.311641,0,1.0,0.0,0.251523,0.122619,0.235437,0.130357,0.376308,0.106957,0.0,0.0,0.0,0
0,0,26,2.253142,0.283951,0,1.0,0.0,0.254766,0.081746,0.237863,0.128992,0.374461,0.115961,0.0,0.0,0.0,0
0,0,27,2.214096,0.301923,0,1.0,0.0,0.259482,0.054497,0.241066,0.130245,0.37301,0.123522,0.0,0.0,0.0,0
0,0,28,2.05295,0.268196,0,1.0,0.0,0.260353,0.036332,0.242422,0.128805,0.370914,0.130074,0.0,0.0,0.0,0
0,0,29,2.027679,0.298902,0,1.0,0.0,0.264208,0.024221,0.245246,0.129216,0.369474,0.135918,0.0,0.0,0.0,0
